ParcelID,DisplayLabel,Hemisphere,Network,SchaeferName,X,Y,Z,AnatomicalRegion,AnatomicalOverlapPercent,Voxels
106,"L salience/ventral attention, PFCl 1",L,SAL,7Networks_LH_SalVentAttn_PFCl_1,-29,43,30,Frontal Mid L,85.5,5177
107,"L salience/ventral attention, Med 1",L,SAL,7Networks_LH_SalVentAttn_Med_1,-6,22,31,Cingulum Ant L,56.0,3120
108,"L salience/ventral attention, Med 2",L,SAL,7Networks_LH_SalVentAttn_Med_2,-7,1,41,Cingulum Mid L,92.3,3040
109,"L salience/ventral attention, Med 3",L,SAL,7Networks_LH_SalVentAttn_Med_3,-11,-27,41,Cingulum Mid L,100.0,2278
110,"L salience/ventral attention, Med 4",L,SAL,7Networks_LH_SalVentAttn_Med_4,-5,9,48,Supp Motor Area L,69.1,3132
111,"L salience/ventral attention, Med 5",L,SAL,7Networks_LH_SalVentAttn_Med_5,-13,-41,47,Precuneus L,51.2,1361
112,"L salience/ventral attention, Med 6",L,SAL,7Networks_LH_SalVentAttn_Med_6,-6,-49,57,Precuneus L,93.3,2074
113,"L salience/ventral attention, Med 7",L,SAL,7Networks_LH_SalVentAttn_Med_7,-8,-3,71,Supp Motor Area L,85.7,1638
114,"L limbic, OFC 1",L,LIM,7Networks_LH_Limbic_OFC_1,-12,24,-20,Frontal Sup Orb L,48.8,2446
115,"L limbic, OFC 2",L,LIM,7Networks_LH_Limbic_OFC_2,-24,23,-20,Frontal Inf Orb L,69.6,4203
116,"L limbic, OFC 3",L,LIM,7Networks_LH_Limbic_OFC_3,-11,47,-21,Frontal Sup Orb L,50.1,4903
117,"L limbic, OFC 4",L,LIM,7Networks_LH_Limbic_OFC_4,-4,23,-19,Rectus L,71.5,3084
118,"L limbic, OFC 5",L,LIM,7Networks_LH_Limbic_OFC_5,-15,65,-8,Frontal Sup Orb L,50.1,3691
119,"L limbic, TempPole 1",L,LIM,7Networks_LH_Limbic_TempPole_1,-37,-5,-42,Temporal Inf L,58.8,4998
120,"L limbic, TempPole 2",L,LIM,7Networks_LH_Limbic_TempPole_2,-25,6,-38,Temporal Pole Mid L,36.5,3186
121,"L limbic, TempPole 3",L,LIM,7Networks_LH_Limbic_TempPole_3,-26,-9,-32,Fusiform L,63.6,2555
122,"L limbic, TempPole 4",L,LIM,7Networks_LH_Limbic_TempPole_4,-54,-21,-32,Temporal Inf L,100.0,3644
123,"L limbic, TempPole 5",L,LIM,7Networks_LH_Limbic_TempPole_5,-40,-22,-27,Temporal Inf L,63.2,3152
124,"L limbic, TempPole 6",L,LIM,7Networks_LH_Limbic_TempPole_6,-43,13,-33,Temporal Pole Mid L,43.7,6058
125,"L limbic, TempPole 7",L,LIM,7Networks_LH_Limbic_TempPole_7,-32,12,-29,Temporal Pole Sup L,51.1,3392
126,"L limbic, TempPole 8",L,LIM,7Networks_LH_Limbic_TempPole_8,-21,-21,-26,ParaHippocampal L,63.0,1582
127,"L control, Par 1",L,FPN,7Networks_LH_Cont_Par_1,-29,-74,42,Occipital Mid L,47.4,2154
128,"L control, Par 2",L,FPN,7Networks_LH_Cont_Par_2,-58,-42,45,Parietal Inf L,96.7,1550
129,"L control, Par 3",L,FPN,7Networks_LH_Cont_Par_3,-53,-50,45,Parietal Inf L,94.8,2478
130,"L control, Par 4",L,FPN,7Networks_LH_Cont_Par_4,-34,-62,48,Parietal Inf L,49.0,2594
131,"L control, Par 5",L,FPN,7Networks_LH_Cont_Par_5,-42,-52,49,Parietal Inf L,95.0,1256
132,"L control, Par 6",L,FPN,7Networks_LH_Cont_Par_6,-45,-41,47,Parietal Inf L,99.6,2649
